"sender","duration","Horizontal_Pos","Vertical_Pos","P_Size_L","P_Size_R","P_Size","Position"
"Consent Form",23298.1,NA,NA,NA,NA,NA,NA
"Debrief No Consent",NA,NA,NA,NA,NA,NA,NA
"Demographics",74366.44,NA,NA,NA,NA,NA,NA
"Fullscreen",2097.96000000001,NA,NA,NA,NA,NA,NA
"Instructions_1",9213.62,NA,NA,NA,NA,NA,NA
"Instructions 1.5",4826.42,NA,NA,NA,NA,NA,NA
"Calibration",3334.02,"200","0",NA,NA,NA,NA
"Mask",199.87999999999,"200","0",NA,NA,NA,NA
"Sequence",3549.48000000001,"200","0",NA,NA,NA,NA
"Calibration",2329.88,"0","-150",NA,NA,NA,NA
"Mask",199.940000000002,"0","-150",NA,NA,NA,NA
"Sequence",2549.72,"0","-150",NA,NA,NA,NA
"Calibration",5904.5,"0","150",NA,NA,NA,NA
"Mask",199.960000000006,"0","150",NA,NA,NA,NA
"Sequence",6132.56,"0","150",NA,NA,NA,NA
"Calibration",3193.28,"0","0",NA,NA,NA,NA
"Mask",199.98000000001,"0","0",NA,NA,NA,NA
"Sequence",3416.22,"0","0",NA,NA,NA,NA
"Calibration",3259.39999999999,"-200","0",NA,NA,NA,NA
"Mask",199.98000000001,"-200","0",NA,NA,NA,NA
"Sequence",3466.22,"-200","0",NA,NA,NA,NA
"Screen Setup",19180.84,NA,NA,NA,NA,NA,NA
"Instructions_2",7415.51999999999,NA,NA,NA,NA,NA,NA
"Instructions_3",9444.16,NA,NA,NA,NA,NA,NA
"Start Button",1894.72,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Mask",199.979999999981,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Comparison",6526.04000000001,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Sequence",8675.72,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Start Button",1695.14000000001,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Mask",199.979999999981,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Comparison",5902.04000000001,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Sequence",7835.14000000001,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Start Button",1236.5,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Mask",199.899999999994,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Comparison",1940.38,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Sequence",3423.5,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Start Button",1582.98000000001,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Mask",199.959999999992,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Comparison",1438.5,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Sequence",3254.98000000001,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Start Button",1331.04000000001,NA,NA,"P_Small_3.png","Control_3 (Small).png",NA,NA
"Mask",199.98000000001,NA,NA,"P_Small_3.png","Control_3 (Small).png",NA,NA
"Comparison",2562.57999999999,NA,NA,"P_Small_3.png","Control_3 (Small).png",NA,NA
"Sequence",4129.04000000001,NA,NA,"P_Small_3.png","Control_3 (Small).png",NA,NA
"Start Button",1430.89999999999,NA,NA,"P_Large_3.png","Control_3 (Big).png",NA,NA
"Mask",199.960000000021,NA,NA,"P_Large_3.png","Control_3 (Big).png",NA,NA
"Comparison",1545.45999999999,NA,NA,"P_Large_3.png","Control_3 (Big).png",NA,NA
"Sequence",3211.89999999999,NA,NA,"P_Large_3.png","Control_3 (Big).png",NA,NA
"Start Button",1462.29999999999,NA,NA,"P_Large_3.png","Control_3.png",NA,NA
"Mask",199.940000000002,NA,NA,"P_Large_3.png","Control_3.png",NA,NA
"Comparison",1042.88,NA,NA,"P_Large_3.png","Control_3.png",NA,NA
"Sequence",2759.29999999999,NA,NA,"P_Large_3.png","Control_3.png",NA,NA
"Start Button",1319.38,NA,NA,"Control_3.png","Control_3 (Small).png",NA,NA
"Mask",199.98000000001,NA,NA,"Control_3.png","Control_3 (Small).png",NA,NA
"Comparison",2065.95999999999,NA,NA,"Control_3.png","Control_3 (Small).png",NA,NA
"Sequence",3632.38,NA,NA,"Control_3.png","Control_3 (Small).png",NA,NA
"Start Button",1295.22,NA,NA,"Control_3.png","P_Small_3.png",NA,NA
"Mask",199.860000000015,NA,NA,"Control_3.png","P_Small_3.png",NA,NA
"Comparison",1558.06,NA,NA,"Control_3.png","P_Small_3.png",NA,NA
"Sequence",3091.22,NA,NA,"Control_3.png","P_Small_3.png",NA,NA
"Start Button",1286.26000000001,NA,NA,"P_Small_3.png","Control_3.png",NA,NA
"Mask",199.98000000001,NA,NA,"P_Small_3.png","Control_3.png",NA,NA
"Comparison",1301.12,NA,NA,"P_Small_3.png","Control_3.png",NA,NA
"Sequence",2834.26000000001,NA,NA,"P_Small_3.png","Control_3.png",NA,NA
"Start Button",1216.94,NA,NA,"Control_3.png","Control_3 (Big).png",NA,NA
"Mask",199.98000000001,NA,NA,"Control_3.png","Control_3 (Big).png",NA,NA
"Comparison",1314.17999999999,NA,NA,"Control_3.png","Control_3 (Big).png",NA,NA
"Sequence",2763.94,NA,NA,"Control_3.png","Control_3 (Big).png",NA,NA
"Start Button",1337.70000000001,NA,NA,"Control_3.png","P_Large_3.png",NA,NA
"Mask",199.959999999992,NA,NA,"Control_3.png","P_Large_3.png",NA,NA
"Comparison",1632.16,NA,NA,"Control_3.png","P_Large_3.png",NA,NA
"Sequence",3198.70000000001,NA,NA,"Control_3.png","P_Large_3.png",NA,NA
"Perceptual Comparison",49192.72,NA,NA,NA,NA,NA,NA
"Practice Instructions",10522.76,NA,NA,NA,NA,NA,NA
"Start Button",1337.95999999999,NA,NA,NA,NA,"P_Small_3.png","200"
"Mask",199.940000000002,NA,NA,NA,NA,"P_Small_3.png","200"
"Practice",911.619999999995,NA,NA,NA,NA,"P_Small_3.png","200"
"Sequence",2477.95999999999,NA,NA,NA,NA,"P_Small_3.png","200"
"Start Button",1274.72,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Mask",199.960000000021,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Practice",961.299999999988,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Sequence",2477.72,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Start Button",1414.38,NA,NA,NA,NA,"Control_3.png","-200"
"Mask",199.940000000002,NA,NA,NA,NA,"Control_3.png","-200"
"Practice",967.600000000006,NA,NA,NA,NA,"Control_3.png","-200"
"Sequence",2617.38,NA,NA,NA,NA,"Control_3.png","-200"
"Start Button",1420.78,NA,NA,NA,NA,"P_Small_3.png","-200"
"Mask",199.98000000001,NA,NA,NA,NA,"P_Small_3.png","-200"
"Practice",942.940000000002,NA,NA,NA,NA,"P_Small_3.png","-200"
"Sequence",2592.78,NA,NA,NA,NA,"P_Small_3.png","-200"
"Start Button",1037.70000000001,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Mask",199.940000000002,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Practice",1490.56,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Sequence",2773.70000000001,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Start Button",1096.39999999999,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Mask",199.98000000001,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Practice",1216.28,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Sequence",2549.39999999999,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Start Button",1154.42000000001,NA,NA,NA,NA,"P_Large_3.png","200"
"Mask",199.960000000021,NA,NA,NA,NA,"P_Large_3.png","200"
"Practice",1271.29999999999,NA,NA,NA,NA,"P_Large_3.png","200"
"Sequence",2654.42000000001,NA,NA,NA,NA,"P_Large_3.png","200"
"Start Button",1266.76000000001,NA,NA,NA,NA,"Control_3.png","200"
"Mask",199.959999999992,NA,NA,NA,NA,"Control_3.png","200"
"Practice",1751.98000000001,NA,NA,NA,NA,"Control_3.png","200"
"Sequence",3251.76000000001,NA,NA,NA,NA,"Control_3.png","200"
"Start Button",1437.88,NA,NA,NA,NA,"P_Large_3.png","-200"
"Mask",199.959999999992,NA,NA,NA,NA,"P_Large_3.png","-200"
"Practice",912.48000000001,NA,NA,NA,NA,"P_Large_3.png","-200"
"Sequence",2578.88,NA,NA,NA,NA,"P_Large_3.png","-200"
"Start Button",1491.84,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Mask",199.880000000005,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Practice",1633.76000000001,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Sequence",3366.84,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Practice Trials",27696.96,NA,NA,NA,NA,NA,NA
"Experimental Trials instructions",5210.23999999999,NA,NA,NA,NA,NA,NA
"Start Button",1812.66,NA,NA,NA,NA,"Control_3.png","-200"
"Mask",199.959999999992,NA,NA,NA,NA,"Control_3.png","-200"
"Pre_Manip Exp Trial",1293.94,NA,NA,NA,NA,"Control_3.png","-200"
"Sequence",3343.66,NA,NA,NA,NA,"Control_3.png","-200"
"Start Button",1507.10000000001,NA,NA,NA,NA,"P_Small_3.png","200"
"Mask",199.919999999984,NA,NA,NA,NA,"P_Small_3.png","200"
"Pre_Manip Exp Trial",1132.32000000001,NA,NA,NA,NA,"P_Small_3.png","200"
"Sequence",2882.10000000001,NA,NA,NA,NA,"P_Small_3.png","200"
"Start Button",1309.72,NA,NA,NA,NA,"Control_3.png","200"
"Mask",199.98000000001,NA,NA,NA,NA,"Control_3.png","200"
"Pre_Manip Exp Trial",1338,NA,NA,NA,NA,"Control_3.png","200"
"Sequence",2887.72,NA,NA,NA,NA,"Control_3.png","200"
"Start Button",1252.48000000001,NA,NA,NA,NA,"P_Large_3.png","200"
"Mask",199.979999999981,NA,NA,NA,NA,"P_Large_3.png","200"
"Pre_Manip Exp Trial",1253.38,NA,NA,NA,NA,"P_Large_3.png","200"
"Sequence",2736.48000000001,NA,NA,NA,NA,"P_Large_3.png","200"
"Start Button",1688.45999999999,NA,NA,NA,NA,"P_Large_3.png","-200"
"Mask",199.940000000002,NA,NA,NA,NA,"P_Large_3.png","-200"
"Pre_Manip Exp Trial",1192.45999999999,NA,NA,NA,NA,"P_Large_3.png","-200"
"Sequence",3125.45999999999,NA,NA,NA,NA,"P_Large_3.png","-200"
"Start Button",1460.95999999999,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Mask",199.98000000001,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Pre_Manip Exp Trial",1230.84,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Sequence",2913.95999999999,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Start Button",1353.64000000001,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Mask",199.960000000021,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Pre_Manip Exp Trial",831.859999999986,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Sequence",2431.64000000001,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Start Button",1434.23999999999,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Mask",199.98000000004,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Pre_Manip Exp Trial",751.859999999986,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Sequence",2418.23999999999,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Start Button",937.020000000019,NA,NA,NA,NA,"P_Small_3.png","200"
"Mask",199.98000000004,NA,NA,NA,NA,"P_Small_3.png","200"
"Pre_Manip Exp Trial",1098.53999999998,NA,NA,NA,NA,"P_Small_3.png","200"
"Sequence",2265.02000000002,NA,NA,NA,NA,"P_Small_3.png","200"
"Start Button",1402.29999999999,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Mask",199.979999999981,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Pre_Manip Exp Trial",1082.20000000001,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Sequence",2715.29999999999,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Start Button",1512.59999999998,NA,NA,NA,NA,"Control_3.png","200"
"Mask",199.840000000026,NA,NA,NA,NA,"Control_3.png","200"
"Pre_Manip Exp Trial",1074.85999999999,NA,NA,NA,NA,"Control_3.png","200"
"Sequence",2824.59999999998,NA,NA,NA,NA,"Control_3.png","200"
"Start Button",1818.29999999999,NA,NA,NA,NA,"Control_3.png","200"
"Mask",199.940000000002,NA,NA,NA,NA,"Control_3.png","200"
"Pre_Manip Exp Trial",939.559999999998,NA,NA,NA,NA,"Control_3.png","200"
"Sequence",2989.29999999999,NA,NA,NA,NA,"Control_3.png","200"
"Start Button",1050.41999999998,NA,NA,NA,NA,"P_Small_3.png","-200"
"Mask",199.940000000002,NA,NA,NA,NA,"P_Small_3.png","-200"
"Pre_Manip Exp Trial",1095.20000000001,NA,NA,NA,NA,"P_Small_3.png","-200"
"Sequence",2378.41999999998,NA,NA,NA,NA,"P_Small_3.png","-200"
"Start Button",2291.70000000001,NA,NA,NA,NA,"P_Large_3.png","-200"
"Mask",199.979999999981,NA,NA,NA,NA,"P_Large_3.png","-200"
"Pre_Manip Exp Trial",1211.67999999999,NA,NA,NA,NA,"P_Large_3.png","-200"
"Sequence",3744.70000000001,NA,NA,NA,NA,"P_Large_3.png","-200"
"Start Button",1242.21999999997,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Mask",199.899999999965,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Pre_Manip Exp Trial",915.020000000019,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Sequence",2398.21999999997,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Start Button",1215.15999999997,NA,NA,NA,NA,"P_Large_3.png","-200"
"Mask",199.899999999965,NA,NA,NA,NA,"P_Large_3.png","-200"
"Pre_Manip Exp Trial",1140.32000000001,NA,NA,NA,NA,"P_Large_3.png","-200"
"Sequence",2590.15999999997,NA,NA,NA,NA,"P_Large_3.png","-200"
"Start Button",1254.08000000002,NA,NA,NA,NA,"P_Small_3.png","-200"
"Mask",199.960000000021,NA,NA,NA,NA,"P_Small_3.png","-200"
"Pre_Manip Exp Trial",926.979999999981,NA,NA,NA,NA,"P_Small_3.png","-200"
"Sequence",2410.08000000002,NA,NA,NA,NA,"P_Small_3.png","-200"
"Start Button",1054.44,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Mask",199.960000000021,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Pre_Manip Exp Trial",849.299999999988,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Sequence",2132.44,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Start Button",2185.15999999997,NA,NA,NA,NA,"Control_3.png","-200"
"Mask",199.940000000002,NA,NA,NA,NA,"Control_3.png","-200"
"Pre_Manip Exp Trial",1158.71999999997,NA,NA,NA,NA,"Control_3.png","-200"
"Sequence",3575.15999999997,NA,NA,NA,NA,"Control_3.png","-200"
"Start Button",1880.84000000003,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Mask",199.919999999984,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Pre_Manip Exp Trial",999.460000000021,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Sequence",3115.84000000003,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Start Button",997.320000000007,NA,NA,NA,NA,"Control_3.png","-200"
"Mask",199.979999999981,NA,NA,NA,NA,"Control_3.png","-200"
"Pre_Manip Exp Trial",764.080000000016,NA,NA,NA,NA,"Control_3.png","-200"
"Sequence",1997.32000000001,NA,NA,NA,NA,"Control_3.png","-200"
"Start Button",1026.23999999999,NA,NA,NA,NA,"Control_3.png","-200"
"Mask",199.959999999963,NA,NA,NA,NA,"Control_3.png","-200"
"Pre_Manip Exp Trial",1151.40000000002,NA,NA,NA,NA,"Control_3.png","-200"
"Sequence",2401.23999999999,NA,NA,NA,NA,"Control_3.png","-200"
"Start Button",1437.15999999997,NA,NA,NA,NA,"P_Large_3.png","-200"
"Mask",199.979999999981,NA,NA,NA,NA,"P_Large_3.png","-200"
"Pre_Manip Exp Trial",676.140000000014,NA,NA,NA,NA,"P_Large_3.png","-200"
"Sequence",2359.15999999997,NA,NA,NA,NA,"P_Large_3.png","-200"
"Start Button",1632.21999999997,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Mask",199.960000000021,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Pre_Manip Exp Trial",531.059999999998,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Sequence",2414.21999999997,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Start Button",995.460000000021,NA,NA,NA,NA,"Control_3.png","200"
"Mask",199.900000000023,NA,NA,NA,NA,"Control_3.png","200"
"Pre_Manip Exp Trial",996.299999999988,NA,NA,NA,NA,"Control_3.png","200"
"Sequence",2229.46000000002,NA,NA,NA,NA,"Control_3.png","200"
"Start Button",2166.15999999997,NA,NA,NA,NA,"P_Small_3.png","-200"
"Mask",199.960000000021,NA,NA,NA,NA,"P_Small_3.png","-200"
"Pre_Manip Exp Trial",860.419999999984,NA,NA,NA,NA,"P_Small_3.png","-200"
"Sequence",3260.15999999997,NA,NA,NA,NA,"P_Small_3.png","-200"
"Start Button",1756.94,NA,NA,NA,NA,"P_Large_3.png","200"
"Mask",199.979999999981,NA,NA,NA,NA,"P_Large_3.png","200"
"Pre_Manip Exp Trial",1303.17999999999,NA,NA,NA,NA,"P_Large_3.png","200"
"Sequence",3302.94,NA,NA,NA,NA,"P_Large_3.png","200"
"Start Button",2298.97999999998,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Mask",199.960000000021,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Pre_Manip Exp Trial",1641.06,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Sequence",4173.97999999998,NA,NA,NA,NA,"Control_3 (Small).png","200"
"Start Button",1255.44,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Mask",199.979999999981,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Pre_Manip Exp Trial",1428.38,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Sequence",2911.44,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Start Button",1289.96000000002,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Mask",199.940000000002,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Pre_Manip Exp Trial",1725.76000000001,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Sequence",3258.96000000002,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Start Button",1865.20000000001,NA,NA,NA,NA,"Control_3.png","-200"
"Mask",199.920000000042,NA,NA,NA,NA,"Control_3.png","-200"
"Pre_Manip Exp Trial",1062.59999999998,NA,NA,NA,NA,"Control_3.png","-200"
"Sequence",3162.20000000001,NA,NA,NA,NA,"Control_3.png","-200"
"Start Button",1243.08000000002,NA,NA,NA,NA,"P_Large_3.png","200"
"Mask",199.940000000002,NA,NA,NA,NA,"P_Large_3.png","200"
"Pre_Manip Exp Trial",1289.91999999998,NA,NA,NA,NA,"P_Large_3.png","200"
"Sequence",2773.08000000002,NA,NA,NA,NA,"P_Large_3.png","200"
"Start Button",1238.70000000001,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Mask",199.899999999965,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Pre_Manip Exp Trial",1007.26000000001,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Sequence",2473.70000000001,NA,NA,NA,NA,"Control_3 (Big).png","200"
"Start Button",1237.40000000002,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Mask",199.820000000007,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Pre_Manip Exp Trial",1083.29999999999,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Sequence",2566.40000000002,NA,NA,NA,NA,"Control_3 (Big).png","-200"
"Start Button",1685.64000000001,NA,NA,NA,NA,"P_Small_3.png","200"
"Mask",199.979999999981,NA,NA,NA,NA,"P_Small_3.png","200"
"Pre_Manip Exp Trial",971.700000000012,NA,NA,NA,NA,"P_Small_3.png","200"
"Sequence",2904.64000000001,NA,NA,NA,NA,"P_Small_3.png","200"
"Start Button",1236.06,NA,NA,NA,NA,"P_Large_3.png","200"
"Mask",199.959999999963,NA,NA,NA,NA,"P_Large_3.png","200"
"Pre_Manip Exp Trial",1269.64000000001,NA,NA,NA,NA,"P_Large_3.png","200"
"Sequence",2736.06,NA,NA,NA,NA,"P_Large_3.png","200"
"Start Button",1891.90000000002,NA,NA,NA,NA,"Control_3 (Small).png","-200"
"Mask",199.859999999986,NA,NA,NA,NA,"Control_3 (Small).png","-200"
